R,L,G,C 
1.00E+08,1.00E+08,1.00E+08,1.00E+08
6.804814971,4.20E-07,0.000844873,8.59E-11
0.700441747,1.50E-07,-0.000155002,-2.12E-11
6.912588531,4.16E-07,0.000849088,8.75E-11
0.297928518,4.54E-08,-1.14E-06,-8.34E-13
0.914331713,9.32E-08,-6.66E-05,-1.01E-11
6.96641135,4.16E-07,0.000848909,8.75E-11
0.13726344,2.44E-08,1.12E-07,-2.78E-13
0.315786149,4.50E-08,-1.27E-06,-7.93E-13
0.776927622,1.48E-07,-0.000155263,-2.11E-11
6.974931835,4.16E-07,0.000850728,8.76E-11
0.106878627,1.07E-08,8.41E-08,-1.27E-13
0.191930063,1.77E-08,8.52E-08,-2.40E-13
0.323038563,4.49E-08,-1.26E-06,-7.90E-13
0.930433505,9.29E-08,-6.66E-05,-1.01E-11
6.979562698,4.16E-07,0.000848978,8.75E-11
0.065972125,6.71E-09,4.78E-08,-6.91E-14
0.111135326,1.06E-08,4.90E-08,-1.17E-13
0.151485972,2.41E-08,4.08E-08,-2.57E-13
0.323687714,4.49E-08,-1.28E-06,-7.90E-13
0.774050101,1.48E-07,-0.000155252,-2.11E-11
6.96420134,4.16E-07,0.000849069,8.75E-11
0.045983637,3.45E-09,3.14E-08,-3.77E-14
0.074007622,5.20E-09,3.17E-08,-6.01E-14
0.113853302,1.06E-08,4.55E-08,-1.16E-13
0.196685334,1.76E-08,7.65E-08,-2.38E-13
0.324655629,4.49E-08,-1.28E-06,-7.90E-13
0.933413518,9.29E-08,-6.66E-05,-1.01E-11
6.955806304,4.16E-07,0.000850004,8.76E-11
0.029808989,2.31E-09,2.06E-08,-2.22E-14
0.047314201,3.41E-09,1.97E-08,-3.44E-14
0.07049643,6.62E-09,2.58E-08,-6.28E-14
0.114170817,1.05E-08,4.47E-08,-1.16E-13
0.152591216,2.41E-08,3.90E-08,-2.56E-13
0.325717523,4.49E-08,-1.28E-06,-7.90E-13
0.777241726,1.48E-07,-0.000155602,-2.11E-11
6.967906333,4.16E-07,0.000849568,8.76E-11
0.019750825,1.27E-09,1.51E-08,-1.27E-14
0.030737745,1.84E-09,1.46E-08,-1.93E-14
0.048148854,3.40E-09,1.86E-08,-3.42E-14
0.075410118,5.17E-09,2.94E-08,-5.98E-14
0.114173691,1.06E-08,4.49E-08,-1.16E-13
0.197134538,1.76E-08,7.73E-08,-2.38E-13
0.326863396,4.48E-08,-1.28E-06,-7.89E-13
0.936567985,9.29E-08,-6.65E-05,-1.01E-11
6.966930355,4.16E-07,0.000849979,8.76E-11
0.013032104,8.70E-10,1.13E-08,-7.60E-15
0.020229071,1.25E-09,1.06E-08,-1.15E-14
0.031300593,2.28E-09,1.27E-08,-2.00E-14
0.048279607,3.40E-09,1.83E-08,-3.41E-14
0.070707102,6.62E-09,2.53E-08,-6.28E-14
0.114378086,1.05E-08,4.48E-08,-1.16E-13
0.153620087,2.41E-08,3.86E-08,-2.56E-13
0.326458655,4.49E-08,-1.27E-06,-7.89E-13
0.774649909,1.48E-07,-0.000155808,-2.11E-11
6.967310827,4.16E-07,0.000850328,8.76E-11
0.008466077,4.90E-10,9.16E-09,-4.38E-15
0.012976861,7.00E-10,8.73E-09,-6.61E-15
0.020534095,1.25E-09,1.03E-08,-1.14E-14
0.031249213,1.83E-09,1.38E-08,-1.92E-14
0.048262059,3.40E-09,1.84E-08,-3.41E-14
0.075498039,5.17E-09,2.95E-08,-5.97E-14
0.114662814,1.05E-08,4.47E-08,-1.16E-13
0.197499573,1.76E-08,7.76E-08,-2.38E-13
0.325765919,4.49E-08,-1.27E-06,-7.89E-13
0.935717631,9.29E-08,-6.65E-05,-1.01E-11
6.958331449,4.16E-07,0.000849964,8.76E-11
0.00562422,3.41E-10,7.62E-09,-2.63E-15
0.008629527,4.85E-10,7.20E-09,-3.98E-15
0.013554358,8.58E-10,8.15E-09,-6.86E-15
0.020546392,1.25E-09,1.02E-08,-1.14E-14
0.031310032,2.27E-09,1.27E-08,-2.00E-14
0.048233718,3.40E-09,1.84E-08,-3.41E-14
0.070850334,6.61E-09,2.54E-08,-6.27E-14
0.114361626,1.05E-08,4.51E-08,-1.16E-13
0.152620184,2.41E-08,3.96E-08,-2.56E-13
0.325861827,4.48E-08,-1.27E-06,-7.89E-13
0.774339362,1.48E-07,-0.0001556,-2.11E-11
6.972915995,4.16E-07,0.000849277,8.76E-11
0.003613859,1.94E-10,6.63E-09,-1.50E-15
0.005493329,2.76E-10,6.33E-09,-2.29E-15
0.008743625,4.83E-10,7.06E-09,-3.96E-15
0.013145293,6.97E-10,8.47E-09,-6.57E-15
0.020529228,1.25E-09,1.02E-08,-1.14E-14
0.031207767,1.83E-09,1.38E-08,-1.92E-14
0.048296466,3.40E-09,1.83E-08,-3.41E-14
0.075434686,5.17E-09,2.94E-08,-5.97E-14
0.114026252,1.05E-08,4.46E-08,-1.16E-13
0.196837344,1.76E-08,7.65E-08,-2.38E-13
0.324462702,4.49E-08,-1.29E-06,-7.91E-13
0.931980835,9.30E-08,-6.68E-05,-1.01E-11
6.959154844,4.16E-07,0.000850813,8.76E-11
0.002415736,1.36E-10,5.94E-09,-8.82E-16
0.003679786,1.92E-10,5.60E-09,-1.37E-15
0.005827157,3.36E-10,6.14E-09,-2.38E-15
0.008757553,4.83E-10,7.09E-09,-3.96E-15
0.013567578,8.58E-10,8.19E-09,-6.87E-15
0.020542905,1.25E-09,1.02E-08,-1.14E-14
0.031384452,2.27E-09,1.27E-08,-2.00E-14
0.048278912,3.40E-09,1.86E-08,-3.42E-14
0.070650834,6.61E-09,2.58E-08,-6.28E-14
0.114346007,1.05E-08,4.55E-08,-1.16E-13
0.153144189,2.41E-08,4.03E-08,-2.56E-13
0.326431596,4.49E-08,-1.26E-06,-7.89E-13
0.78740586,1.48E-07,-0.000155322,-2.11E-11
6.938272976,4.16E-07,0.000849039,8.75E-11
0.001523885,7.79E-11,5.38E-09,-4.84E-16
0.002305756,1.10E-10,5.17E-09,-7.72E-16
0.003682951,1.92E-10,5.64E-09,-1.37E-15
0.00550565,2.76E-10,6.34E-09,-2.29E-15
0.008644998,4.85E-10,7.19E-09,-3.99E-15
0.012992508,7.00E-10,8.77E-09,-6.62E-15
0.02029213,1.25E-09,1.07E-08,-1.15E-14
0.030833292,1.84E-09,1.46E-08,-1.93E-14
0.047433151,3.41E-09,1.97E-08,-3.44E-14
0.074285582,5.19E-09,3.18E-08,-6.01E-14
0.111957976,1.06E-08,4.89E-08,-1.17E-13
0.193430104,1.77E-08,8.54E-08,-2.40E-13
0.319668877,4.50E-08,-1.27E-06,-7.92E-13
0.915127699,9.32E-08,-6.65E-05,-1.01E-11
6.928052713,4.16E-07,0.00084964,8.76E-11
0.000999437,5.51E-11,5.62E-09,-2.88E-16
0.001519334,7.79E-11,5.42E-09,-4.85E-16
0.002410102,1.36E-10,5.90E-09,-8.83E-16
0.003611458,1.94E-10,6.69E-09,-1.50E-15
0.005614975,3.41E-10,7.63E-09,-2.64E-15
0.008448771,4.90E-10,9.14E-09,-4.39E-15
0.013024897,8.70E-10,1.13E-08,-7.61E-15
0.019743371,1.27E-09,1.51E-08,-1.27E-14
0.029750253,2.31E-09,2.07E-08,-2.22E-14
0.045964021,3.45E-09,3.15E-08,-3.77E-14
0.066076858,6.71E-09,4.78E-08,-6.91E-14
0.107113946,1.07E-08,8.44E-08,-1.27E-13
0.137844074,2.44E-08,1.12E-07,-2.78E-13
0.296319351,4.55E-08,-1.13E-06,-8.34E-13
0.700548135,1.50E-07,-0.0001552,-2.12E-11
6.785550575,4.19E-07,0.000844129,8.59E-11
2.00E+08,2.00E+08,2.00E+08,2.00E+08
10.10024187,4.16E-07,0.001754009,8.53E-11
0.963385749,1.49E-07,-0.000325704,-2.11E-11
10.23228528,4.13E-07,0.001766388,8.69E-11
0.429035975,4.53E-08,-4.66E-06,-8.33E-13
1.346048787,9.28E-08,-0.000142226,-1.01E-11
10.31713029,4.12E-07,0.00176632,8.69E-11
0.192777355,2.44E-08,-1.33E-07,-2.77E-13
0.456436544,4.49E-08,-4.97E-06,-7.92E-13
1.074624321,1.48E-07,-0.000324534,-2.10E-11
10.33167327,4.12E-07,0.001770211,8.70E-11
0.152163908,1.07E-08,7.78E-07,-1.26E-13
0.27826888,1.76E-08,9.79E-07,-2.38E-13
0.465911192,4.48E-08,-4.89E-06,-7.89E-13
1.370974077,9.25E-08,-0.000142377,-1.01E-11
10.33221814,4.12E-07,0.001766507,8.69E-11
0.093579961,6.68E-09,3.13E-07,-6.85E-14
0.159697118,1.06E-08,5.79E-07,-1.16E-13
0.213116055,2.40E-08,-2.28E-07,-2.56E-13
0.467316604,4.47E-08,-4.99E-06,-7.89E-13
1.064366068,1.48E-07,-0.000323806,-2.10E-11
10.29868054,4.12E-07,0.001766342,8.69E-11
0.070875595,3.43E-09,-3.38E-07,-3.72E-14
0.113207691,5.17E-09,-5.40E-07,-6.01E-14
0.164453305,1.05E-08,5.57E-07,-1.15E-13
0.286424163,1.75E-08,1.10E-06,-2.37E-13
0.47050635,4.48E-08,-4.97E-06,-7.89E-13
1.379409824,9.25E-08,-0.000142517,-1.01E-11
10.29194302,4.12E-07,0.001767997,8.70E-11
0.04508754,2.29E-09,-7.71E-08,-2.21E-14
0.07181376,3.39E-09,-1.87E-07,-3.41E-14
0.101038125,6.59E-09,2.44E-07,-6.20E-14
0.164623769,1.05E-08,5.23E-07,-1.15E-13
0.214916177,2.40E-08,-2.42E-07,-2.55E-13
0.469950293,4.47E-08,-4.96E-06,-7.89E-13
1.063703253,1.48E-07,-0.000323938,-2.10E-11
10.31815065,4.12E-07,0.001767395,8.70E-11
0.023192665,1.26E-09,-1.13E-06,-1.23E-14
0.043526507,1.82E-09,4.59E-07,-1.94E-14
0.07237556,3.38E-09,-1.28E-07,-3.39E-14
0.114034843,5.14E-09,-3.88E-07,-5.97E-14
0.164760293,1.05E-08,5.29E-07,-1.15E-13
0.286716809,1.75E-08,1.10E-06,-2.37E-13
0.472466735,4.47E-08,-4.95E-06,-7.88E-13
1.384511757,9.25E-08,-0.000142142,-1.01E-11
10.30795604,4.12E-07,0.001768172,8.70E-11
0.015618359,8.66E-10,-2.11E-08,-7.01E-15
0.023677096,1.24E-09,-1.11E-06,-1.12E-14
0.046045022,2.26E-09,3.97E-08,-2.01E-14
0.072525187,3.38E-09,-1.06E-07,-3.39E-14
0.101451697,6.59E-09,2.43E-07,-6.20E-14
0.165071593,1.05E-08,5.25E-07,-1.15E-13
0.216824722,2.40E-08,-2.30E-07,-2.55E-13
0.472802465,4.47E-08,-4.96E-06,-7.87E-13
1.06310166,1.48E-07,-0.000324485,-2.10E-11
10.3116782,4.12E-07,0.001768886,8.70E-11
0.010607927,4.88E-10,-5.75E-09,-3.97E-15
0.015893325,6.96E-10,-9.11E-08,-6.07E-15
0.024002721,1.24E-09,-1.10E-06,-1.11E-14
0.043944816,1.81E-09,4.09E-07,-1.93E-14
0.072465456,3.38E-09,-1.16E-07,-3.39E-14
0.114022067,5.14E-09,-3.74E-07,-5.96E-14
0.165426328,1.05E-08,5.19E-07,-1.15E-13
0.287319617,1.75E-08,1.12E-06,-2.37E-13
0.470782879,4.47E-08,-4.96E-06,-7.88E-13
