Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_2:Line_1_2)
1e+08,Resistance,0.0634949
1e+08,Inductance,3.80974e-09
1e+08,Conductance,2.08598e-05
1e+08,Capacitance,1.47722e-12
2e+08,Resistance,0.0973494
2e+08,Inductance,3.78506e-09
2e+08,Conductance,4.2204e-05
2e+08,Capacitance,1.47708e-12
3e+08,Resistance,0.12364
3e+08,Inductance,3.77459e-09
3e+08,Conductance,6.25411e-05
3e+08,Capacitance,1.47719e-12
4e+08,Resistance,0.145597
4e+08,Inductance,3.76815e-09
4e+08,Conductance,8.21868e-05
4e+08,Capacitance,1.47717e-12
5e+08,Resistance,0.164761
5e+08,Inductance,3.76374e-09
5e+08,Conductance,0.000101381
5e+08,Capacitance,1.47715e-12
6e+08,Resistance,0.181956
6e+08,Inductance,3.76064e-09
6e+08,Conductance,0.00012026
6e+08,Capacitance,1.4772e-12
7e+08,Resistance,0.197679
7e+08,Inductance,3.75813e-09
7e+08,Conductance,0.000138906
7e+08,Capacitance,1.47719e-12
8e+08,Resistance,0.212254
8e+08,Inductance,3.75617e-09
8e+08,Conductance,0.000157376
8e+08,Capacitance,1.47722e-12
9e+08,Resistance,0.225887
9e+08,Inductance,3.75444e-09
9e+08,Conductance,0.0001757
9e+08,Capacitance,1.47719e-12
1e+09,Resistance,0.238752
1e+09,Inductance,3.75302e-09
1e+09,Conductance,0.000193907
1e+09,Capacitance,1.47719e-12
1.1e+09,Resistance,0.250955
1.1e+09,Inductance,3.75183e-09
1.1e+09,Conductance,0.000212017
1.1e+09,Capacitance,1.4772e-12
1.2e+09,Resistance,0.262592
1.2e+09,Inductance,3.75069e-09
1.2e+09,Conductance,0.00023004
1.2e+09,Capacitance,1.47717e-12
1.3e+09,Resistance,0.273736
1.3e+09,Inductance,3.74982e-09
1.3e+09,Conductance,0.000247993
1.3e+09,Capacitance,1.47719e-12
1.4e+09,Resistance,0.284442
1.4e+09,Inductance,3.74895e-09
1.4e+09,Conductance,0.000265881
1.4e+09,Capacitance,1.47718e-12
1.5e+09,Resistance,0.294765
1.5e+09,Inductance,3.74819e-09
1.5e+09,Conductance,0.000283716
1.5e+09,Capacitance,1.47717e-12
1.6e+09,Resistance,0.304737
1.6e+09,Inductance,3.74751e-09
1.6e+09,Conductance,0.000301495
1.6e+09,Capacitance,1.47717e-12
1.7e+09,Resistance,0.314381
1.7e+09,Inductance,3.7469e-09
1.7e+09,Conductance,0.000319231
1.7e+09,Capacitance,1.47718e-12
1.8e+09,Resistance,0.323744
1.8e+09,Inductance,3.74636e-09
1.8e+09,Conductance,0.000336926
1.8e+09,Capacitance,1.47718e-12
1.9e+09,Resistance,0.332849
1.9e+09,Inductance,3.74586e-09
1.9e+09,Conductance,0.000354585
1.9e+09,Capacitance,1.47719e-12
2e+09,Resistance,0.341711
2e+09,Inductance,3.74533e-09
2e+09,Conductance,0.000372206
2e+09,Capacitance,1.47717e-12
2.1e+09,Resistance,0.350342
2.1e+09,Inductance,3.74492e-09
2.1e+09,Conductance,0.000389795
2.1e+09,Capacitance,1.47718e-12
2.2e+09,Resistance,0.358766
2.2e+09,Inductance,3.74454e-09
2.2e+09,Conductance,0.000407359
2.2e+09,Capacitance,1.4772e-12
2.3e+09,Resistance,0.366997
2.3e+09,Inductance,3.74412e-09
2.3e+09,Conductance,0.000424894
2.3e+09,Capacitance,1.47719e-12
2.4e+09,Resistance,0.375057
2.4e+09,Inductance,3.74374e-09
2.4e+09,Conductance,0.000442399
2.4e+09,Capacitance,1.47718e-12
2.5e+09,Resistance,0.382925
2.5e+09,Inductance,3.74344e-09
2.5e+09,Conductance,0.000459889
2.5e+09,Capacitance,1.4772e-12
2.6e+09,Resistance,0.390653
2.6e+09,Inductance,3.74311e-09
2.6e+09,Conductance,0.000477348
2.6e+09,Capacitance,1.47719e-12
2.7e+09,Resistance,0.398227
2.7e+09,Inductance,3.7428e-09
2.7e+09,Conductance,0.000494789
2.7e+09,Capacitance,1.47719e-12
2.8e+09,Resistance,0.405662
2.8e+09,Inductance,3.74251e-09
2.8e+09,Conductance,0.000512213
2.8e+09,Capacitance,1.47719e-12
2.9e+09,Resistance,0.412954
2.9e+09,Inductance,3.74224e-09
2.9e+09,Conductance,0.000529617
2.9e+09,Capacitance,1.47719e-12
3e+09,Resistance,0.420129
3e+09,Inductance,3.74198e-09
3e+09,Conductance,0.000547
3e+09,Capacitance,1.47719e-12
3.1e+09,Resistance,0.427175
3.1e+09,Inductance,3.74174e-09
3.1e+09,Conductance,0.000564372
3.1e+09,Capacitance,1.47719e-12
3.2e+09,Resistance,0.434112
3.2e+09,Inductance,3.74151e-09
3.2e+09,Conductance,0.000581725
3.2e+09,Capacitance,1.47719e-12
3.3e+09,Resistance,0.440929
3.3e+09,Inductance,3.7413e-09
3.3e+09,Conductance,0.000599064
3.3e+09,Capacitance,1.47719e-12
3.4e+09,Resistance,0.44767
3.4e+09,Inductance,3.74105e-09
3.4e+09,Conductance,0.000616382
3.4e+09,Capacitance,1.47718e-12
3.5e+09,Resistance,0.454288
3.5e+09,Inductance,3.74086e-09
3.5e+09,Conductance,0.000633693
3.5e+09,Capacitance,1.47719e-12
3.6e+09,Resistance,0.460802
3.6e+09,Inductance,3.74067e-09
3.6e+09,Conductance,0.000650995
3.6e+09,Capacitance,1.47719e-12
3.7e+09,Resistance,0.467233
3.7e+09,Inductance,3.7405e-09
3.7e+09,Conductance,0.00066828
3.7e+09,Capacitance,1.4772e-12
3.8e+09,Resistance,0.473596
3.8e+09,Inductance,3.7403e-09
3.8e+09,Conductance,0.000685546
3.8e+09,Capacitance,1.47719e-12
3.9e+09,Resistance,0.479847
3.9e+09,Inductance,3.74014e-09
3.9e+09,Conductance,0.000702813
3.9e+09,Capacitance,1.47719e-12
4e+09,Resistance,0.486044
4e+09,Inductance,3.73996e-09
