Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
1e+08,Resistance,-1.49814,0.0133334,-0.239091
1e+08,Inductance,5.25939e-09,1.92041e-09,5.6448e-09
1e+08,Conductance,-0.00063091,-4.86437e-06,-0.000124671
1e+08,Capacitance,9.7436e-13,-2.63104e-13,1.1271e-12
2e+08,Resistance,-2.13692,0.0186492,-0.851641
2e+08,Inductance,5.34519e-09,1.95253e-09,5.22167e-09
2e+08,Conductance,-0.000891558,-9.15414e-06,-0.000371833
2e+08,Capacitance,1.00976e-12,-2.56462e-13,9.42597e-13
3e+08,Resistance,4.01639,-0.00672436,2.3706
3e+08,Inductance,5.90611e-09,2.04286e-09,5.65052e-09
3e+08,Conductance,0.00159262,-1.17813e-05,0.00091722
3e+08,Capacitance,1.1345e-12,-2.53283e-13,1.06786e-12
4e+08,Resistance,2.19654,-0.00368592,-1.67739
4e+08,Inductance,5.67883e-09,1.95905e-09,5.3346e-09
4e+08,Conductance,0.000847132,-1.7218e-05,-0.000696442
4e+08,Capacitance,1.08161e-12,-2.69731e-13,1.02625e-12
5e+08,Resistance,2.25363,0.0181094,-0.858857
5e+08,Inductance,5.63131e-09,1.93344e-09,5.0336e-09
5e+08,Conductance,0.000869305,-1.70019e-05,-0.000497465
5e+08,Capacitance,1.07151e-12,-2.54859e-13,9.18805e-13
6e+08,Resistance,0.0701267,0.0992559,-2.2188
6e+08,Inductance,5.17963e-09,1.91184e-09,5.09582e-09
6e+08,Conductance,-0.000108381,7.81292e-06,-0.00101278
6e+08,Capacitance,1.00253e-12,-2.63797e-13,1.00344e-12
7e+08,Resistance,0.859225,-0.098437,0.958391
7e+08,Inductance,5.17568e-09,2.01256e-09,5.43572e-09
7e+08,Conductance,0.000216478,-8.18478e-06,0.000436615
7e+08,Capacitance,9.52681e-13,-2.57392e-13,1.07182e-12
8e+08,Resistance,-2.91443,0.0361542,1.79271
8e+08,Inductance,4.76606e-09,1.98872e-09,5.46106e-09
8e+08,Conductance,-0.00153862,-1.64435e-05,0.00080321
8e+08,Capacitance,8.92103e-13,-2.67832e-13,1.07209e-12
9e+08,Resistance,2.12972,-0.525792,0.256603
9e+08,Inductance,5.49667e-09,2.0343e-09,5.41287e-09
9e+08,Conductance,0.000815886,9.80201e-05,0.000228375
9e+08,Capacitance,1.04168e-12,-2.74105e-13,1.0063e-12
1e+09,Resistance,1.90043,0.0410668,-0.447275
1e+09,Inductance,5.38263e-09,1.92375e-09,5.12169e-09
1e+09,Conductance,0.000552335,-1.81846e-05,-0.000336159
1e+09,Capacitance,1.07432e-12,-2.41262e-13,9.55765e-13
1.1e+09,Resistance,0.520765,-0.266101,0.586429
1.1e+09,Inductance,5.56341e-09,1.96322e-09,5.43824e-09
1.1e+09,Conductance,0.0006749,2.50121e-05,0.000220444
1.1e+09,Capacitance,1.06965e-12,-2.60804e-13,1.06312e-12
1.2e+09,Resistance,1.17979,0.315459,0.42348
1.2e+09,Inductance,5.16772e-09,1.95511e-09,5.42039e-09
1.2e+09,Conductance,0.000252412,-2.80393e-05,0.000215954
1.2e+09,Capacitance,1.00276e-12,-2.48765e-13,1.05309e-12
1.3e+09,Resistance,0.241598,0.649235,0.821933
1.3e+09,Inductance,5.34066e-09,1.94077e-09,5.072e-09
1.3e+09,Conductance,0.00010437,-0.000195045,-7.602e-05
1.3e+09,Capacitance,1.00345e-12,-2.38837e-13,9.69484e-13
1.4e+09,Resistance,1.65406,0.0636584,0.103174
1.4e+09,Inductance,5.35639e-09,1.97311e-09,5.25156e-09
1.4e+09,Conductance,0.000377769,-5.54978e-05,-2.32909e-05
1.4e+09,Capacitance,1.0168e-12,-2.54026e-13,1.03939e-12
1.5e+09,Resistance,1.87265,-0.566513,3.88328
1.5e+09,Inductance,5.25927e-09,2.08445e-09,5.68496e-09
1.5e+09,Conductance,0.00078416,1.81053e-05,0.00160617
1.5e+09,Capacitance,1.02198e-12,-2.72381e-13,1.05266e-12
1.6e+09,Resistance,-1.99997,-0.298112,-2.21035
1.6e+09,Inductance,5.33838e-09,1.8789e-09,5.17801e-09
1.6e+09,Conductance,-0.000145256,-4.96528e-06,-0.000464766
1.6e+09,Capacitance,1.08004e-12,-2.52924e-13,1.03298e-12
1.7e+09,Resistance,1.15065,0.628636,1.39864
1.7e+09,Inductance,5.08049e-09,1.9122e-09,5.20254e-09
1.7e+09,Conductance,-0.000546732,-5.86874e-05,0.000121193
1.7e+09,Capacitance,9.45042e-13,-2.45555e-13,1.02173e-12
1.8e+09,Resistance,0.340668,0.688499,3.70059
1.8e+09,Inductance,5.25733e-09,1.97825e-09,5.16826e-09
1.8e+09,Conductance,-0.000305547,-6.97333e-05,0.000732428
1.8e+09,Capacitance,1.01375e-12,-2.48816e-13,9.32755e-13
1.9e+09,Resistance,1.17898,-0.0342013,3.071
1.9e+09,Inductance,5.44767e-09,1.97951e-09,5.35256e-09
1.9e+09,Conductance,0.000857762,-7.36238e-05,0.000728841
1.9e+09,Capacitance,1.06652e-12,-2.50544e-13,9.77595e-13
2e+09,Resistance,0.123963,-0.379734,-0.985238
2e+09,Inductance,5.23303e-09,1.94417e-09,5.40241e-09
2e+09,Conductance,0.000267523,3.3998e-05,-0.000329155
2e+09,Capacitance,1.02402e-12,-2.55273e-13,1.07513e-12
2.1e+09,Resistance,2.25185,-0.338493,-0.394655
2.1e+09,Inductance,5.33607e-09,1.97115e-09,5.40853e-09
2.1e+09,Conductance,0.00123064,-4.55707e-05,0.000370842
2.1e+09,Capacitance,1.01209e-12,-2.57023e-13,1.05914e-12
2.2e+09,Resistance,0.433663,-0.132801,-0.0113177
2.2e+09,Inductance,5.52361e-09,1.99838e-09,5.25754e-09
2.2e+09,Conductance,0.00044035,-3.98717e-05,-0.00018549
2.2e+09,Capacitance,1.05318e-12,-2.49441e-13,1.03531e-12
2.3e+09,Resistance,-0.520215,0.473932,3.12471
2.3e+09,Inductance,5.24894e-09,1.91613e-09,5.26852e-09
2.3e+09,Conductance,-0.000351809,-1.67651e-06,0.000680491
2.3e+09,Capacitance,1.02719e-12,-2.41685e-13,1.00661e-12
2.4e+09,Resistance,-4.38648,-0.893854,-0.349498
2.4e+09,Inductance,5.30097e-09,1.88691e-09,5.28187e-09
2.4e+09,Conductance,-0.000310747,0.000151911,4.98474e-06
2.4e+09,Capacitance,1.11532e-12,-2.4703e-13,1.03092e-12
2.5e+09,Resistance,-0.985561,0.045489,1.24209
2.5e+09,Inductance,5.19672e-09,1.92172e-09,5.30147e-09
2.5e+09,Conductance,-0.000175757,-7.75494e-05,0.000181738
2.5e+09,Capacitance,1.06531e-12,-2.59424e-13,1.00865e-12
2.6e+09,Resistance,1.7633,-0.639763,-1.19935
2.6e+09,Inductance,5.34881e-09,1.98847e-09,5.38646e-09
2.6e+09,Conductance,0.000455888,-7.10985e-05,0.000125841
2.6e+09,Capacitance,9.96039e-13,-2.56807e-13,1.04285e-12
2.7e+09,Resistance,1.38154,-0.443845,-1.47815
2.7e+09,Inductance,5.32413e-09,1.94942e-09,5.28156e-09
2.7e+09,Conductance,0.000231165,-2.83592e-05,4.35237e-05
2.7e+09,Capacitance,1.00178e-12,-2.51219e-13,1.04703e-12
2.8e+09,Resistance,2.904,-0.0358773,-1.56637
2.8e+09,Inductance,5.31933e-09,1.96214e-09,5.31414e-09
2.8e+09,Conductance,0.000794206,-5.79954e-05,-0.000321983
2.8e+09,Capacitance,1.0144e-12,-2.52733e-13,1.01651e-12
2.9e+09,Resistance,0.635821,0.817376,4.01518
2.9e+09,Inductance,5.26017e-09,1.98096e-09,5.33518e-09
2.9e+09,Conductance,0.000455644,-0.000197189,0.000810462
2.9e+09,Capacitance,1.03589e-12,-2.59612e-13,9.84334e-13
3e+09,Resistance,1.87782,1.16505,3.17296
3e+09,Inductance,5.27077e-09,1.9904e-09,5.27811e-09
3e+09,Conductance,0.000488154,-0.000175681,0.000627795
3e+09,Capacitance,1.02241e-12,-2.5923e-13,1.00107e-12
3.1e+09,Resistance,-3.01719,-0.908933,-0.665058
3.1e+09,Inductance,5.21031e-09,1.93179e-09,5.23321e-09
3.1e+09,Conductance,-0.000343878,-1.02372e-05,0.000237631
3.1e+09,Capacitance,1.04808e-12,-2.60065e-13,1.03268e-12
3.2e+09,Resistance,1.09226,0.111363,1.4766
3.2e+09,Inductance,5.25009e-09,1.97304e-09,5.31523e-09
3.2e+09,Conductance,0.000429545,-0.00013008,0.000656263
3.2e+09,Capacitance,1.0197e-12,-2.56846e-13,1.01833e-12
3.3e+09,Resistance,1.32092,0.145088,2.23641
3.3e+09,Inductance,5.35555e-09,2.02748e-09,5.34291e-09
3.3e+09,Conductance,0.00060779,-0.000190091,0.00058047
3.3e+09,Capacitance,1.0133e-12,-2.59511e-13,1.00371e-12
3.4e+09,Resistance,0.0132848,-0.338121,-1.94876
3.4e+09,Inductance,5.22712e-09,1.90717e-09,5.17229e-09
3.4e+09,Conductance,0.000295246,7.33583e-05,-4.13471e-05
3.4e+09,Capacitance,1.02938e-12,-2.55283e-13,1.0459e-12
3.5e+09,Resistance,-2.70722,-0.268455,4.12712
3.5e+09,Inductance,5.29433e-09,1.9721e-09,5.38335e-09
3.5e+09,Conductance,-0.000279279,-6.23937e-05,0.000989938
3.5e+09,Capacitance,1.01634e-12,-2.52086e-13,9.9698e-13
3.6e+09,Resistance,4.94666,0.602423,-0.782611
3.6e+09,Inductance,5.42374e-09,2.02451e-09,5.24765e-09
3.6e+09,Conductance,0.00106998,-0.000135461,9.55075e-05
3.6e+09,Capacitance,9.96967e-13,-2.62794e-13,1.03117e-12
3.7e+09,Resistance,0.0599833,0.992319,3.10985
3.7e+09,Inductance,5.17427e-09,1.92497e-09,5.26373e-09
3.7e+09,Conductance,9.8409e-05,-9.03369e-05,0.000776859
3.7e+09,Capacitance,1.03813e-12,-2.57436e-13,1.02026e-12
3.8e+09,Resistance,1.19073,-1.28808,-2.46212
3.8e+09,Inductance,5.34324e-09,1.97075e-09,5.27491e-09
3.8e+09,Conductance,0.000674911,-9.6262e-05,0.000134429
3.8e+09,Capacitance,1.00765e-12,-2.50409e-13,1.015e-12
3.9e+09,Resistance,-0.491184,-1.02461,2.26187
3.9e+09,Inductance,5.38876e-09,2.10593e-09,5.45221e-09
3.9e+09,Conductance,0.00043886,-0.000123547,0.000912669
3.9e+09,Capacitance,1.01626e-12,-2.70629e-13,1.00555e-12
