Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
1e+08,Resistance,0.122714,0.0079898,0.122714
1e+08,Inductance,5.41886e-09,1.97442e-09,5.41886e-09
1e+08,Conductance,1.52849e-05,-4.39298e-06,1.52849e-05
1e+08,Capacitance,1.01783e-12,-2.56387e-13,1.01783e-12
2e+08,Resistance,0.187693,0.0122574,0.187693
2e+08,Inductance,5.37185e-09,1.97132e-09,5.37185e-09
2e+08,Conductance,3.1149e-05,-9.10851e-06,3.1149e-05
2e+08,Capacitance,1.01794e-12,-2.56358e-13,1.01794e-12
3e+08,Resistance,0.238116,0.0155125,0.238116
3e+08,Inductance,5.3515e-09,1.96993e-09,5.3515e-09
3e+08,Conductance,4.58725e-05,-1.32444e-05,4.58725e-05
3e+08,Capacitance,1.0181e-12,-2.56341e-13,1.0181e-12
4e+08,Resistance,0.280168,0.0182405,0.280168
4e+08,Inductance,5.33903e-09,1.9691e-09,5.33903e-09
4e+08,Conductance,5.98174e-05,-1.69567e-05,5.98174e-05
4e+08,Capacitance,1.01805e-12,-2.56331e-13,1.01805e-12
5e+08,Resistance,0.316903,0.0206242,0.316903
5e+08,Inductance,5.33044e-09,1.96853e-09,5.33044e-09
5e+08,Conductance,7.32222e-05,-2.0414e-05,7.32222e-05
5e+08,Capacitance,1.01798e-12,-2.56324e-13,1.01798e-12
6e+08,Resistance,0.349878,0.0228236,0.349878
6e+08,Inductance,5.32422e-09,1.96811e-09,5.32422e-09
6e+08,Conductance,8.62612e-05,-2.36898e-05,8.62612e-05
6e+08,Capacitance,1.01797e-12,-2.56318e-13,1.01797e-12
7e+08,Resistance,0.379817,0.0245614,0.379817
7e+08,Inductance,5.31954e-09,1.96778e-09,5.31954e-09
7e+08,Conductance,9.91088e-05,-2.67835e-05,9.91088e-05
7e+08,Capacitance,1.01802e-12,-2.56317e-13,1.01802e-12
8e+08,Resistance,0.407801,0.0264203,0.407801
8e+08,Inductance,5.31557e-09,1.96752e-09,5.31557e-09
8e+08,Conductance,0.000111655,-2.98006e-05,0.000111655
8e+08,Capacitance,1.01798e-12,-2.56314e-13,1.01798e-12
9e+08,Resistance,0.43389,0.0282102,0.43389
9e+08,Inductance,5.31237e-09,1.9673e-09,5.31237e-09
9e+08,Conductance,0.00012408,-3.27535e-05,0.00012408
9e+08,Capacitance,1.01799e-12,-2.56311e-13,1.01799e-12
1e+09,Resistance,0.45974,0.0306592,0.45974
1e+09,Inductance,5.30985e-09,1.96723e-09,5.30985e-09
1e+09,Conductance,0.000136475,-3.561e-05,0.000136475
1e+09,Capacitance,1.018e-12,-2.56309e-13,1.018e-12
1.1e+09,Resistance,0.483268,0.0322008,0.483268
1.1e+09,Inductance,5.30748e-09,1.96707e-09,5.30748e-09
1.1e+09,Conductance,0.000148632,-3.83465e-05,0.000148632
1.1e+09,Capacitance,1.01799e-12,-2.56311e-13,1.01799e-12
1.2e+09,Resistance,0.505527,0.0335806,0.505527
1.2e+09,Inductance,5.30546e-09,1.96693e-09,5.30546e-09
1.2e+09,Conductance,0.000160755,-4.11021e-05,0.000160755
1.2e+09,Capacitance,1.018e-12,-2.56309e-13,1.018e-12
1.3e+09,Resistance,0.527079,0.0352847,0.527079
1.3e+09,Inductance,5.30361e-09,1.96681e-09,5.30361e-09
1.3e+09,Conductance,0.000172727,-4.38735e-05,0.000172727
1.3e+09,Capacitance,1.01798e-12,-2.56305e-13,1.01798e-12
1.4e+09,Resistance,0.54771,0.0366225,0.54771
1.4e+09,Inductance,5.30201e-09,1.9667e-09,5.30201e-09
1.4e+09,Conductance,0.00018464,-4.65024e-05,0.00018464
1.4e+09,Capacitance,1.01798e-12,-2.56306e-13,1.01798e-12
1.5e+09,Resistance,0.567278,0.0376929,0.567278
1.5e+09,Inductance,5.30065e-09,1.9666e-09,5.30065e-09
