Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
1e+08,Resistance,0.123708,0.0207983,0.00600548,0.00956905,0.12348,0.00944155,0.00634728,0.123201,0.00244757,0.122584
1e+08,Inductance,1.33215e-08,4.15882e-09,9.17714e-09,3.53184e-09,1.33496e-08,3.53412e-09,9.17905e-09,1.33224e-08,3.03776e-09,1.33369e-08
1e+08,Conductance,1.4412e-05,-1.35648e-06,-7.82393e-06,-3.82123e-07,1.43682e-05,-3.7939e-07,-7.77452e-06,1.42291e-05,-1.15568e-07,1.41815e-05
1e+08,Capacitance,1.5774e-12,-1.57783e-13,-9.32188e-13,-4.71475e-14,1.57481e-12,-4.72462e-14,-9.29565e-13,1.54776e-12,-1.82906e-14,1.54498e-12
1.1e+08,Resistance,0.127776,0.0220739,0.00523738,0.0105661,0.128252,0.0103819,0.00594837,0.126701,0.00322855,0.127154
1.1e+08,Inductance,1.33175e-08,4.15843e-09,9.18135e-09,3.53216e-09,1.33466e-08,3.53459e-09,9.18329e-09,1.3318e-08,3.03866e-09,1.3334e-08
1.1e+08,Conductance,1.54184e-05,-1.37664e-06,-8.57074e-06,-3.86663e-07,1.52242e-05,-3.76595e-07,-8.38378e-06,1.52946e-05,-1.03637e-07,1.50606e-05
1.1e+08,Capacitance,1.57845e-12,-1.57799e-13,-9.33021e-13,-4.71471e-14,1.57549e-12,-4.72587e-14,-9.30054e-13,1.54886e-12,-1.82605e-14,1.54566e-12
1.2e+08,Resistance,0.132138,0.0235657,0.00499703,0.0117368,0.133304,0.0115289,0.00598874,0.130642,0.0041796,0.131996
1.2e+08,Inductance,1.33137e-08,4.15808e-09,9.18468e-09,3.53242e-09,1.33434e-08,3.53497e-09,9.18662e-09,1.3314e-08,3.0394e-09,1.33308e-08
1.2e+08,Conductance,1.65557e-05,-1.41719e-06,-9.38076e-06,-3.97349e-07,1.62046e-05,-3.81173e-07,-9.05602e-06,1.64646e-05,-9.10151e-08,1.6059e-05
1.2e+08,Capacitance,1.57922e-12,-1.57813e-13,-9.33596e-13,-4.71525e-14,1.57601e-12,-4.72757e-14,-9.30392e-13,1.54966e-12,-1.82437e-14,1.54618e-12
1.3e+08,Resistance,0.136822,0.025267,0.0052459,0.0130814,0.138621,0.0128775,0.00643536,0.135033,0.00530171,0.137103
1.3e+08,Inductance,1.331e-08,4.15772e-09,9.1873e-09,3.53261e-09,1.33401e-08,3.53526e-09,9.18922e-09,1.33101e-08,3.04001e-09,1.33276e-08
1.3e+08,Conductance,1.77982e-05,-1.47575e-06,-1.02357e-05,-4.13428e-07,1.72914e-05,-3.92442e-07,-9.77667e-06,1.77224e-05,-7.87014e-08,1.71587e-05
1.3e+08,Capacitance,1.57977e-12,-1.57825e-13,-9.33978e-13,-4.71606e-14,1.57639e-12,-4.72944e-14,-9.30621e-13,1.55024e-12,-1.82356e-14,1.54657e-12
1.4e+08,Resistance,0.141842,0.0271713,0.00594365,0.0145994,0.144191,0.0144218,0.00725668,0.139863,0.00659473,0.142468
1.4e+08,Inductance,1.33063e-08,4.15736e-09,9.18931e-09,3.53274e-09,1.33367e-08,3.53548e-09,9.1912e-09,1.33064e-08,3.04051e-09,1.33242e-08
1.4e+08,Conductance,1.91233e-05,-1.54995e-06,-1.11195e-05,-4.34183e-07,1.84686e-05,-4.09744e-07,-1.05341e-05,1.90502e-05,-6.74422e-08,1.83441e-05
1.4e+08,Capacitance,1.58015e-12,-1.57835e-13,-9.34218e-13,-4.71696e-14,1.57668e-12,-4.73126e-14,-9.30769e-13,1.55063e-12,-1.82334e-14,1.54685e-12
1.5e+08,Resistance,0.147198,0.0292718,0.00705,0.0162895,0.150001,0.0161557,0.00842236,0.145111,0.00805756,0.148084
1.5e+08,Inductance,1.33027e-08,4.15697e-09,9.19082e-09,3.53281e-09,1.33332e-08,3.53561e-09,9.19268e-09,1.33027e-08,3.04092e-09,1.33207e-08
1.5e+08,Conductance,2.0512e-05,-1.6376e-06,-1.20191e-05,-4.58948e-07,1.9722e-05,-4.32423e-07,-1.13189e-05,2.04317e-05,-5.77817e-08,1.96011e-05
1.5e+08,Capacitance,1.58041e-12,-1.57843e-13,-9.34354e-13,-4.71785e-14,1.57688e-12,-4.73293e-14,-9.30858e-13,1.55089e-12,-1.82349e-14,1.54705e-12
1.6e+08,Resistance,0.152878,0.0315618,0.00852606,0.0181497,0.156037,0.0180728,0.00990344,0.15075,0.00968843,0.15394
