Frequency(Hz),Value Type:,RLGC1[1 1] - ( Model1 ),RLGC1[1 2] - ( Model1 ),RLGC1[2 2] - ( Model2 )
1e+08,Resistance,0.363374,0.0311958,0.363374
1e+08,Inductance,1.11378e-08,3.5473e-09,1.11378e-08
1e+08,Conductance,3.26335e-05,-8.13015e-06,3.26335e-05
1e+08,Capacitance,1.94707e-12,-4.06426e-13,1.94707e-12
3e+08,Resistance,0.705079,0.0629604,0.705079
3e+08,Inductance,1.09361e-08,3.53067e-09,1.09361e-08
3e+08,Conductance,9.81726e-05,-2.45731e-05,9.81726e-05
3e+08,Capacitance,1.94687e-12,-4.06268e-13,1.94687e-12
5e+08,Resistance,0.937553,0.0841815,0.937553
5e+08,Inductance,1.08744e-08,3.52513e-09,1.08744e-08
5e+08,Conductance,0.000155287,-3.74425e-05,0.000155287
5e+08,Capacitance,1.94679e-12,-4.06217e-13,1.94679e-12
7e+08,Resistance,1.12363,0.10117,1.12363
7e+08,Inductance,1.08418e-08,3.52219e-09,1.08418e-08
7e+08,Conductance,0.000208497,-4.86391e-05,0.000208497
7e+08,Capacitance,1.94675e-12,-4.06192e-13,1.94675e-12
9e+08,Resistance,1.28298,0.115757,1.28298
9e+08,Inductance,1.08208e-08,3.5203e-09,1.08208e-08
9e+08,Conductance,0.00025957,-5.89162e-05,0.00025957
9e+08,Capacitance,1.94673e-12,-4.06179e-13,1.94673e-12
1.1e+09,Resistance,1.4246,0.12869,1.4246
1.1e+09,Inductance,1.08059e-08,3.51895e-09,1.08059e-08
1.1e+09,Conductance,0.000309211,-6.85766e-05,0.000309211
1.1e+09,Capacitance,1.94672e-12,-4.06168e-13,1.94672e-12
1.3e+09,Resistance,1.55331,0.140429,1.55331
1.3e+09,Inductance,1.07946e-08,3.51792e-09,1.07946e-08
1.3e+09,Conductance,0.000357852,-7.78002e-05,0.000357852
1.3e+09,Capacitance,1.94671e-12,-4.06161e-13,1.94671e-12
1.5e+09,Resistance,1.67208,0.151272,1.67208
1.5e+09,Inductance,1.07856e-08,3.5171e-09,1.07856e-08
1.5e+09,Conductance,0.000405715,-8.66931e-05,0.000405715
1.5e+09,Capacitance,1.94671e-12,-4.06157e-13,1.94671e-12
1.7e+09,Resistance,1.78298,0.161441,1.78298
1.7e+09,Inductance,1.07782e-08,3.51642e-09,1.07782e-08
1.7e+09,Conductance,0.000452978,-9.5351e-05,0.000452978
1.7e+09,Capacitance,1.9467e-12,-4.06152e-13,1.9467e-12
1.9e+09,Resistance,1.88716,0.170841,1.88716
1.9e+09,Inductance,1.07721e-08,3.51586e-09,1.07721e-08
1.9e+09,Conductance,0.000499771,-0.000103755,0.000499771
1.9e+09,Capacitance,1.9467e-12,-4.0615e-13,1.9467e-12
2.1e+09,Resistance,1.98604,0.179958,1.98604
2.1e+09,Inductance,1.07669e-08,3.51539e-09,1.07669e-08
2.1e+09,Conductance,0.000546144,-0.000112022,0.000546144
2.1e+09,Capacitance,1.9467e-12,-4.06149e-13,1.9467e-12
2.3e+09,Resistance,2.08,0.188366,2.08
2.3e+09,Inductance,1.07623e-08,3.51497e-09,1.07623e-08
2.3e+09,Conductance,0.00059217,-0.000120113,0.00059217
2.3e+09,Capacitance,1.9467e-12,-4.06146e-13,1.9467e-12
2.5e+09,Resistance,2.17001,0.196594,2.17001
2.5e+09,Inductance,1.07583e-08,3.51461e-09,1.07583e-08
2.5e+09,Conductance,0.000637876,-0.000128072,0.000637876
2.5e+09,Capacitance,1.9467e-12,-4.06146e-13,1.9467e-12
2.7e+09,Resistance,2.2565,0.204685,2.2565
2.7e+09,Inductance,1.07548e-08,3.51429e-09,1.07548e-08
