Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
1e+07,Resistance,71.3804,71.367,71.3653,71.3656,71.3804,71.3656,71.3653,71.3804,71.3645,71.3804
1e+07,Inductance,1.42566e-08,9.03289e-09,1.18079e-08,8.56284e-09,1.42562e-08,8.56295e-09,1.18072e-08,1.42991e-08,8.15135e-09,1.42983e-08
1e+07,Conductance,-1.69807e-08,-1.49801e-09,2.75768e-08,-1.85324e-09,7.5877e-10,3.38918e-10,1.28881e-09,-1.77211e-08,2.34587e-10,-3.06024e-10
1e+07,Capacitance,3.19207e-13,-3.54463e-14,-2.03058e-13,-1.15777e-14,3.19207e-13,-1.16472e-14,-2.0302e-13,3.09948e-13,-5.6319e-15,3.0994e-13
1.1e+08,Resistance,72.0941,72.0383,72.0337,72.0308,72.0942,72.0308,72.0336,72.0959,72.0245,72.0959
1.1e+08,Inductance,8.10438e-09,3.04329e-09,5.8456e-09,2.59427e-09,8.10387e-09,2.59426e-09,5.8452e-09,8.14667e-09,2.19895e-09,8.14594e-09
1.1e+08,Conductance,1.02593e-07,1.53666e-10,-8.48941e-08,1.27462e-08,9.86707e-08,5.91877e-09,-7.67226e-08,1.11121e-07,1.85996e-09,1.05652e-07
1.1e+08,Capacitance,3.19399e-13,-3.54589e-14,-2.03151e-13,-1.16374e-14,3.19493e-13,-1.16474e-14,-2.03246e-13,3.10129e-13,-5.57855e-15,3.10214e-13
2.1e+08,Resistance,72.3831,72.2947,72.2975,72.2817,72.3834,72.2816,72.2977,72.3901,72.2698,72.3903
2.1e+08,Inductance,7.77093e-09,2.73044e-09,5.53734e-09,2.28407e-09,7.77044e-09,2.28399e-09,5.5371e-09,7.81245e-09,1.89072e-09,7.81188e-09
2.1e+08,Conductance,1.0582e-06,-1.85089e-08,-8.69724e-07,4.37678e-08,1.0792e-06,4.59172e-08,-8.93417e-07,1.09591e-06,1.68551e-08,1.12095e-06
2.1e+08,Capacitance,3.1946e-13,-3.54535e-14,-2.03156e-13,-1.16438e-14,3.19537e-13,-1.1643e-14,-2.03232e-13,3.10192e-13,-5.57531e-15,3.10266e-13
3.1e+08,Resistance,72.5255,72.4043,72.4216,72.384,72.5259,72.3838,72.4218,72.5366,72.3639,72.5368
3.1e+08,Inductance,7.63895e-09,2.61058e-09,5.4179e-09,2.16578e-09,7.63833e-09,2.16578e-09,5.41749e-09,7.6798e-09,1.77381e-09,7.67905e-09
3.1e+08,Conductance,1.06697e-06,1.71435e-08,-7.69348e-07,5.99467e-08,1.08664e-06,6.6343e-08,-7.93807e-07,1.12832e-06,1.81312e-08,1.15375e-06
3.1e+08,Capacitance,3.19116e-13,-3.5441e-14,-2.02878e-13,-1.16522e-14,3.19183e-13,-1.16535e-14,-2.02941e-13,3.09843e-13,-5.57975e-15,3.09905e-13
4.1e+08,Resistance,72.632,72.4767,72.5139,72.4477,72.6322,72.4477,72.5138,72.6484,72.4178,72.6484
4.1e+08,Inductance,7.57814e-09,2.55757e-09,5.36462e-09,2.11395e-09,7.57746e-09,2.11398e-09,5.36415e-09,7.61872e-09,1.72305e-09,7.61788e-09
4.1e+08,Conductance,6.86104e-07,7.76675e-08,-3.36828e-07,7.42535e-08,6.96288e-07,8.08301e-08,-3.4991e-07,7.77024e-07,1.36632e-08,7.91235e-07
4.1e+08,Capacitance,3.19049e-13,-3.54425e-14,-2.02842e-13,-1.16552e-14,3.19115e-13,-1.16576e-14,-2.02901e-13,3.09772e-13,-5.5813e-15,3.09832e-13
5.1e+08,Resistance,72.7358,72.5436,72.6064,72.5045,72.7358,72.5046,72.6058,72.7593,72.4628,72.7589
5.1e+08,Inductance,7.54347e-09,2.52851e-09,5.33504e-09,2.08583e-09,7.54278e-09,2.08585e-09,5.33458e-09,7.58381e-09,1.69581e-09,7.58296e-09
5.1e+08,Conductance,3.13002e-07,1.42942e-07,9.12297e-08,9.26623e-08,3.1399e-07,9.77879e-08,9.05116e-08,4.3803e-07,7.23204e-09,4.40632e-07
5.1e+08,Capacitance,3.19086e-13,-3.54481e-14,-2.02888e-13,-1.16559e-14,3.19152e-13,-1.16585e-14,-2.02949e-13,3.09804e-13,-5.58133e-15,3.09865e-13
6.1e+08,Resistance,72.8472,72.6141,72.7084,72.5635,72.8469,72.5638,72.7074,72.8796,72.5083,72.8787
6.1e+08,Inductance,7.51967e-09,2.50911e-09,5.3149e-09,2.06721e-09,7.51899e-09,2.06722e-09,5.31448e-09,7.55967e-09,1.67797e-09,7.55884e-09
6.1e+08,Conductance,8.22473e-08,2.08539e-07,4.11123e-07,1.19378e-07,7.69864e-08,1.22629e-07,4.19526e-07,2.46475e-07,1.09966e-09,2.41071e-07
6.1e+08,Capacitance,3.19135e-13,-3.5453e-14,-2.0294e-13,-1.16557e-14,3.19204e-13,-1.16579e-14,-2.03003e-13,3.0985e-13,-5.58057e-15,3.09913e-13
7.1e+08,Resistance,72.9692,72.6907,72.8224,72.6271,72.9687,72.6274,72.821,73.0122,72.5563,73.0109
7.1e+08,Inductance,7.50074e-09,2.49388e-09,5.29872e-09,2.05268e-09,7.50007e-09,2.05268e-09,5.29833e-09,7.54029e-09,1.66417e-09,7.53949e-09
7.1e+08,Conductance,2.01469e-08,2.76732e-07,6.12106e-07,1.58093e-07,1.1999e-08,1.59696e-07,6.2512e-07,2.31884e-07,-2.63222e-09,2.22887e-07
7.1e+08,Capacitance,3.19165e-13,-3.54562e-14,-2.02971e-13,-1.16554e-14,3.19236e-13,-1.16569e-14,-2.03038e-13,3.09877e-13,-5.5794e-15,3.09943e-13
8.1e+08,Resistance,73.1023,72.7732,72.9484,72.695,73.1016,72.6955,72.9467,73.1575,72.6066,73.1559
8.1e+08,Inductance,7.48404e-09,2.4805e-09,5.28417e-09,2.03995e-09,7.48337e-09,2.03993e-09,5.28381e-09,7.52303e-09,1.65213e-09,7.52224e-09
8.1e+08,Conductance,1.16013e-07,3.51648e-07,7.14813e-07,2.1183e-07,1.07912e-07,2.12403e-07,7.27915e-07,3.88028e-07,-1.74843e-09,3.7939e-07
8.1e+08,Capacitance,3.19167e-13,-3.54576e-14,-2.02976e-13,-1.16558e-14,3.19239e-13,-1.16565e-14,-2.03045e-13,3.09877e-13,-5.57812e-15,3.09944e-13
9.1e+08,Resistance,73.246,72.8608,73.0854,72.7664,73.2452,72.7669,73.0835,73.315,72.6584,73.3131
9.1e+08,Inductance,7.4683e-09,2.4679e-09,5.27019e-09,2.02796e-09,7.46763e-09,2.02795e-09,5.26982e-09,7.50662e-09,1.64083e-09,7.50584e-09
9.1e+08,Conductance,3.49854e-07,4.37212e-07,7.47551e-07,2.82681e-07,3.44029e-07,2.83083e-07,7.56765e-07,6.99746e-07,6.04972e-09,6.94528e-07
9.1e+08,Capacitance,3.1914e-13,-3.5458e-14,-2.02955e-13,-1.16575e-14,3.19213e-13,-1.16573e-14,-2.03026e-13,3.09848e-13,-5.57698e-15,3.09916e-13
1.01e+09,Resistance,73.3986,72.9515,73.2315,72.8392,73.3976,72.8397,73.2294,73.4826,72.7095,73.4805
1.01e+09,Inductance,7.45372e-09,2.45638e-09,5.25705e-09,2.017e-09,7.45302e-09,2.017e-09,5.25666e-09,7.49129e-09,1.63059e-09,7.49049e-09
1.01e+09,Conductance,6.77898e-07,5.35955e-07,7.55059e-07,3.75436e-07,6.71822e-07,3.77665e-07,7.63133e-07,1.12511e-06,2.59193e-08,1.12098e-06
1.01e+09,Capacitance,3.19096e-13,-3.54585e-14,-2.02922e-13,-1.16587e-14,3.19169e-13,-1.16577e-14,-2.02992e-13,3.09802e-13,-5.57797e-15,3.0987e-13
1.11e+09,Resistance,73.5529,73.0407,73.3802,72.9089,73.5511,72.9092,73.3769,73.6523,72.7558,73.6494
1.11e+09,Inductance,7.44646e-09,2.45201e-09,5.25082e-09,2.01292e-09,7.44567e-09,2.01295e-09,5.2503e-09,7.48343e-09,1.62732e-09,7.48252e-09
1.11e+09,Conductance,8.52646e-07,6.60253e-07,8.96347e-07,5.05201e-07,8.15526e-07,5.16203e-07,9.48744e-07,1.39195e-06,7.50738e-08,1.35421e-06
1.11e+09,Capacitance,3.19118e-13,-3.54622e-14,-2.02953e-13,-1.16467e-14,3.19188e-13,-1.16469e-14,-2.03019e-13,3.09824e-13,-5.59064e-15,3.09889e-13
1.21e+09,Resistance,73.7154,73.1349,73.5376,72.9818,73.7128,72.9821,73.5332,73.8311,72.8035,73.8274
1.21e+09,Inductance,7.43892e-09,2.44739e-09,5.24418e-09,2.00872e-09,7.43807e-09,2.00877e-09,5.24358e-09,7.47522e-09,1.62393e-09,7.47425e-09
1.21e+09,Conductance,1.04867e-06,8.23556e-07,1.03046e-06,6.2541e-07,9.87868e-07,6.4168e-07,1.1168e-06,1.69693e-06,1.20632e-07,1.63273e-06
1.21e+09,Capacitance,3.19128e-13,-3.54641e-14,-2.02974e-13,-1.16415e-14,3.19197e-13,-1.16423e-14,-2.03037e-13,3.09834e-13,-5.59787e-15,3.09898e-13
1.31e+09,Resistance,73.8846,73.2331,73.7024,73.0571,73.8815,73.0573,73.6972,74.0174,72.8518,74.0132
