Frequency,R11,R12,R21,R22,L11,L12,L21,L22,G11,G12,G21,G22,C11,C12,C21,C22
1.00E+08,1.65E+01,0.00E+00,0.00E+00,1.65E+01,4.45E-07,0.00E+00,0.00E+00,4.45E-07,7.94E-04,0.00E+00,0.00E+00,7.94E-04,7.55E-11,0.00E+00,0.00E+00,7.55E-11
2.00E+08,2.65E+01,0.00E+00,0.00E+00,2.65E+01,4.39E-07,0.00E+00,0.00E+00,4.39E-07,1.59E-03,0.00E+00,0.00E+00,1.59E-03,7.55E-11,0.00E+00,0.00E+00,7.55E-11
3.00E+08,3.43E+01,0.00E+00,0.00E+00,3.43E+01,4.37E-07,0.00E+00,0.00E+00,4.37E-07,2.38E-03,0.00E+00,0.00E+00,2.38E-03,7.55E-11,0.00E+00,0.00E+00,7.55E-11
4.00E+08,4.08E+01,0.00E+00,0.00E+00,4.08E+01,4.35E-07,0.00E+00,0.00E+00,4.35E-07,3.18E-03,0.00E+00,0.00E+00,3.18E-03,7.55E-11,0.00E+00,0.00E+00,7.55E-11
5.00E+08,4.65E+01,0.00E+00,0.00E+00,4.65E+01,4.35E-07,0.00E+00,0.00E+00,4.35E-07,3.97E-03,0.00E+00,0.00E+00,3.97E-03,7.55E-11,0.00E+00,0.00E+00,7.55E-11
6.00E+08,5.15E+01,0.00E+00,0.00E+00,5.15E+01,4.34E-07,0.00E+00,0.00E+00,4.34E-07,4.77E-03,0.00E+00,0.00E+00,4.77E-03,7.55E-11,0.00E+00,0.00E+00,7.55E-11
7.00E+08,5.61E+01,0.00E+00,0.00E+00,5.61E+01,4.33E-07,0.00E+00,0.00E+00,4.33E-07,5.56E-03,0.00E+00,0.00E+00,5.56E-03,7.55E-11,0.00E+00,0.00E+00,7.55E-11
8.00E+08,6.04E+01,0.00E+00,0.00E+00,6.04E+01,4.33E-07,0.00E+00,0.00E+00,4.33E-07,6.35E-03,0.00E+00,0.00E+00,6.35E-03,7.55E-11,0.00E+00,0.00E+00,7.55E-11
9.00E+08,6.43E+01,0.00E+00,0.00E+00,6.43E+01,4.32E-07,0.00E+00,0.00E+00,4.32E-07,7.15E-03,0.00E+00,0.00E+00,7.15E-03,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.00E+09,6.81E+01,0.00E+00,0.00E+00,6.81E+01,4.32E-07,0.00E+00,0.00E+00,4.32E-07,7.94E-03,0.00E+00,0.00E+00,7.94E-03,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.10E+09,7.16E+01,0.00E+00,0.00E+00,7.16E+01,4.32E-07,0.00E+00,0.00E+00,4.32E-07,8.74E-03,0.00E+00,0.00E+00,8.74E-03,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.20E+09,7.50E+01,0.00E+00,0.00E+00,7.50E+01,4.32E-07,0.00E+00,0.00E+00,4.32E-07,9.53E-03,0.00E+00,0.00E+00,9.53E-03,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.30E+09,7.82E+01,0.00E+00,0.00E+00,7.82E+01,4.31E-07,0.00E+00,0.00E+00,4.31E-07,1.03E-02,0.00E+00,0.00E+00,1.03E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.40E+09,8.14E+01,0.00E+00,0.00E+00,8.14E+01,4.31E-07,0.00E+00,0.00E+00,4.31E-07,1.11E-02,0.00E+00,0.00E+00,1.11E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.50E+09,8.43E+01,0.00E+00,0.00E+00,8.43E+01,4.31E-07,0.00E+00,0.00E+00,4.31E-07,1.19E-02,0.00E+00,0.00E+00,1.19E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.60E+09,8.72E+01,0.00E+00,0.00E+00,8.72E+01,4.31E-07,0.00E+00,0.00E+00,4.31E-07,1.27E-02,0.00E+00,0.00E+00,1.27E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
