Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_2:Line_1_2)
1e+08,Resistance,0.354114
1e+08,Inductance,1.1295e-08
1e+08,Conductance,3.0986e-05
1e+08,Capacitance,1.91719e-12
2e+08,Resistance,0.540156
2e+08,Inductance,1.11575e-08
2e+08,Conductance,6.31922e-05
2e+08,Capacitance,1.91709e-12
3e+08,Resistance,0.684219
3e+08,Inductance,1.10972e-08
3e+08,Conductance,9.29396e-05
3e+08,Capacitance,1.91703e-12
4e+08,Resistance,0.804439
4e+08,Inductance,1.10615e-08
4e+08,Conductance,0.000120976
4e+08,Capacitance,1.917e-12
5e+08,Resistance,0.909302
5e+08,Inductance,1.10372e-08
5e+08,Conductance,0.000147915
5e+08,Capacitance,1.91698e-12
6e+08,Resistance,1.0034
6e+08,Inductance,1.10194e-08
6e+08,Conductance,0.000174085
6e+08,Capacitance,1.91697e-12
7e+08,Resistance,1.08946
7e+08,Inductance,1.10055e-08
7e+08,Conductance,0.000199697
7e+08,Capacitance,1.91696e-12
8e+08,Resistance,1.16917
8e+08,Inductance,1.09944e-08
8e+08,Conductance,0.000224865
8e+08,Capacitance,1.91695e-12
9e+08,Resistance,1.24375
9e+08,Inductance,1.09851e-08
9e+08,Conductance,0.000249675
9e+08,Capacitance,1.91695e-12
1e+09,Resistance,1.31411
1e+09,Inductance,1.09773e-08
1e+09,Conductance,0.000274184
1e+09,Capacitance,1.91695e-12
1.1e+09,Resistance,1.38084
1.1e+09,Inductance,1.09706e-08
1.1e+09,Conductance,0.000298504
1.1e+09,Capacitance,1.91694e-12
1.2e+09,Resistance,1.44447
1.2e+09,Inductance,1.09648e-08
1.2e+09,Conductance,0.000322577
1.2e+09,Capacitance,1.91694e-12
1.3e+09,Resistance,1.50574
1.3e+09,Inductance,1.09597e-08
1.3e+09,Conductance,0.000346504
1.3e+09,Capacitance,1.91694e-12
1.4e+09,Resistance,1.56436
1.4e+09,Inductance,1.09551e-08
1.4e+09,Conductance,0.000370258
1.4e+09,Capacitance,1.91694e-12
1.5e+09,Resistance,1.62077
1.5e+09,Inductance,1.09509e-08
1.5e+09,Conductance,0.000393878
1.5e+09,Capacitance,1.91694e-12
1.6e+09,Resistance,1.67533
1.6e+09,Inductance,1.09472e-08
1.6e+09,Conductance,0.000417354
1.6e+09,Capacitance,1.91694e-12
1.7e+09,Resistance,1.72802
1.7e+09,Inductance,1.09438e-08
1.7e+09,Conductance,0.000440743
1.7e+09,Capacitance,1.91694e-12
1.8e+09,Resistance,1.77936
1.8e+09,Inductance,1.09407e-08
1.8e+09,Conductance,0.000464021
1.8e+09,Capacitance,1.91694e-12
1.9e+09,Resistance,1.82902
1.9e+09,Inductance,1.09378e-08
1.9e+09,Conductance,0.00048721
1.9e+09,Capacitance,1.91694e-12
2e+09,Resistance,1.87745
2e+09,Inductance,1.09352e-08
2e+09,Conductance,0.00051031
2e+09,Capacitance,1.91694e-12
2.1e+09,Resistance,1.92477
2.1e+09,Inductance,1.09328e-08
2.1e+09,Conductance,0.000533336
2.1e+09,Capacitance,1.91694e-12
2.2e+09,Resistance,1.97097
2.2e+09,Inductance,1.09305e-08
2.2e+09,Conductance,0.000556283
2.2e+09,Capacitance,1.91694e-12
2.3e+09,Resistance,2.01592
2.3e+09,Inductance,1.09284e-08
2.3e+09,Conductance,0.000579178
2.3e+09,Capacitance,1.91694e-12
2.4e+09,Resistance,2.06006
2.4e+09,Inductance,1.09264e-08
2.4e+09,Conductance,0.000601973
2.4e+09,Capacitance,1.91694e-12
2.5e+09,Resistance,2.10308
2.5e+09,Inductance,1.09245e-08
2.5e+09,Conductance,0.00062477
2.5e+09,Capacitance,1.91694e-12
2.6e+09,Resistance,2.14537
2.6e+09,Inductance,1.09227e-08
2.6e+09,Conductance,0.000647482
2.6e+09,Capacitance,1.91694e-12
2.7e+09,Resistance,2.18688
2.7e+09,Inductance,1.09211e-08
2.7e+09,Conductance,0.000670131
2.7e+09,Capacitance,1.91694e-12
2.8e+09,Resistance,2.22748
2.8e+09,Inductance,1.09195e-08
2.8e+09,Conductance,0.000692741
2.8e+09,Capacitance,1.91694e-12
2.9e+09,Resistance,2.26694
2.9e+09,Inductance,1.0918e-08
2.9e+09,Conductance,0.000715368
2.9e+09,Capacitance,1.91694e-12
3e+09,Resistance,2.30652
3e+09,Inductance,1.09166e-08
3e+09,Conductance,0.000737851
3e+09,Capacitance,1.91694e-12
3.1e+09,Resistance,2.34471
3.1e+09,Inductance,1.09152e-08
3.1e+09,Conductance,0.000760392
3.1e+09,Capacitance,1.91694e-12
3.2e+09,Resistance,2.38272
3.2e+09,Inductance,1.0914e-08
3.2e+09,Conductance,0.000782833
3.2e+09,Capacitance,1.91694e-12
3.3e+09,Resistance,2.41983
3.3e+09,Inductance,1.09127e-08
3.3e+09,Conductance,0.000805276
3.3e+09,Capacitance,1.91694e-12
3.4e+09,Resistance,2.45645
3.4e+09,Inductance,1.09115e-08
3.4e+09,Conductance,0.000827686
3.4e+09,Capacitance,1.91695e-12
3.5e+09,Resistance,2.49278
3.5e+09,Inductance,1.09103e-08
3.5e+09,Conductance,0.000850007
3.5e+09,Capacitance,1.91696e-12
3.6e+09,Resistance,2.5293
3.6e+09,Inductance,1.09094e-08
3.6e+09,Conductance,0.000872158
3.6e+09,Capacitance,1.91693e-12
3.7e+09,Resistance,2.56389
3.7e+09,Inductance,1.09083e-08
3.7e+09,Conductance,0.000894552
3.7e+09,Capacitance,1.91694e-12
3.8e+09,Resistance,2.59882
3.8e+09,Inductance,1.09074e-08
3.8e+09,Conductance,0.000916744
3.8e+09,Capacitance,1.91694e-12
3.9e+09,Resistance,2.63351
3.9e+09,Inductance,1.09064e-08
3.9e+09,Conductance,0.000938879
3.9e+09,Capacitance,1.91694e-12
